2.757000	0.000000
4.018000 	0.750000
4.807000 	1.500000
5.694000	2.250000
6.524000	3.000000 
7.447000 	3.750000
8.238000 	4.500000
9.078000	5.250000
9.869000	6.000000   
10.816000  	6.750000
11.640000	7.500000
12.439000	8.250000
13.271000	9.000000 
14.283000	9.750000
15.026000	10.500000
15.981000	11.250000
17.003000	12.000000 
18.045000	12.750000
18.848000	13.500000
19.554000	14.250000
20.308000	15.000000
21.121000	15.750000
21.954000	16.500000
22.747000	17.250000
23.551000	18.000000 
24.295000	18.750000
25.147000	19.500000
25.960000	20.250000
26.803000	21.000000 
27.694000	21.750000
28.400000	22.500000
29.972000	23.250000
30.026000	24.000000
31.035000	24.750000
31.848000	25.500000
32.583000	26.250000
33.455000	27.000000
34.268000	27.750000
35.081000	28.500000
35.884000	29.250000
36.766000	30.000000
37.726000	30.750000
38.568000	31.500000
39.519000	32.250000
40.332000	33.000000
41.213000	33.750000
42.017000	34.500000
42.820000	35.250000
43.594000	36.000000
44.544000	36.750000
45.308000	37.500000
46.209000	38.250000
46.964000 	39.000000
47.689000	39.750000
48.502000	40.500000
49.266000	41.250000
50.187000	42.000000
50.951000	42.750000
51.793000	43.500000
52.557000	44.250000
53.390000	45.000000
54.223000	45.750000
55.085000	46.500000
55.849000	47.250000
56.613000	48.000000
57.495000	48.750000
58.239000	49.500000
59.013000	50.250000
59.797000	51.000000
60.786000	51.750000
61.698000	52.500000
62.520000	53.250000
63.588000	54.000000
64.960000	54.750000
66.174000	55.500000
67.007000	56.250000
67.830000	57.000000
68.731000	57.750000
69.515000	58.500000
70.485000	59.250000
71.327000	60.000000
72.385000	60.750000
73.189000	61.500000
74.328000	62.250000
75.173000	63.000000
77.251000	63.750000
81.518000	64.500000
82.862000	65.250000
83.679000	66.000000
84.483000	66.750000
85.258000	67.500000
86.131000	68.250000
87.004000	69.000000
87.738000	69.750000
88.500000	70.500000
89.318000	71.250000
90.163000	72.000000
91.216000	72.750000
91.992000	73.500000
92.781000	74.250000
93.654000	75.000000
94.721000	75.750000
96.663000	76.500000
96.730000	77.250000
97.438000	78.000000
98.184000	78.750000
99.002000	79.500000
99.819000	80.250000
100.900000	81.000000
101.842000	81.750000
102.673000	82.500000
103.795000	83.250000
104.987000	84.000000
107.120000	84.750000
107.993000	85.500000
109.254000	86.250000
110.140000	87.000000
111.346000	87.750000
112.163000	88.500000
113.119000	89.250000
114.074000	90.000000
115.197000	90.750000
116.541000	91.500000
117.206000	92.250000
117.968000	93.000000
118.882000	93.750000
119.603000	94.500000
120.490000	95.250000
121.238000	96.000000
122.166000	96.750000
122.886000	97.500000
123.593000	98.250000
124.258000	99.000000
125.145000	99.750000
126.003000	100.500000
126.669000	101.250000
127.472000	102.000000
128.470000	102.750000
129.162000	103.500000
129.993000	104.250000
130.769000	105.000000
131.504000	105.750000
132.141000	106.500000
132.958000	107.250000
133.734000	108.000000
134.912000	108.750000
135.701000	109.500000
136.588000	110.250000
137.461000	111.000000
138.181000	111.750000
138.985000	112.500000
139.816000	113.250000
141.118000	114.000000
142.102000	114.750000
142.910600	115.500000
143.861000	116.250000
144.707000	117.000000
145.773000	117.750000
146.549000	118.500000
147.422000	119.250000
148.226000	120.000000
149.237000	120.750000
150.082000	121.500000
151.010000	122.250000
152.326000	123.000000
155.000000	124.500000
157.500000	126.000000
160.000000	127.500000
